time,speed
0.0,
0.03333333333333333,
0.06666666666666667,
0.1,
0.13333333333333333,
0.16666666666666666,0.056464944
0.2,0.09798972
0.23333333333333334,0.15122254
0.26666666666666666,0.21290836
0.3,0.21354546
0.3333333333333333,0.21479541
0.36666666666666664,0.21517755
0.4,0.21317667
0.43333333333333335,0.2050304
0.4666666666666667,
0.5,
0.5333333333333333,
0.5666666666666667,
0.6,
0.6333333333333333,
0.6666666666666666,
0.7,
0.7333333333333333,
0.7666666666666667,
0.8,
0.8333333333333334,
0.8666666666666667,
0.9,
0.9333333333333333,
0.9666666666666667,
1.0,
1.0333333333333334,
1.0666666666666667,
1.1,
1.1333333333333333,
1.1666666666666667,
1.2,
1.2333333333333334,
1.2666666666666666,
1.3,
1.3333333333333333,
1.3666666666666667,
1.4,
1.4333333333333333,
1.4666666666666666,
1.5,
1.5333333333333334,
1.5666666666666667,
1.6,
1.6333333333333333,
1.6666666666666667,
1.7,
1.7333333333333334,
1.7666666666666666,
1.8,
1.8333333333333333,
1.8666666666666667,
1.9,
1.9333333333333333,
1.9666666666666666,
2.0,
2.033333333333333,
2.066666666666667,
2.1,
2.1333333333333333,
2.1666666666666665,
2.2,
2.2333333333333334,
2.2666666666666666,
2.3,
2.3333333333333335,
2.3666666666666667,
2.4,
2.433333333333333,
2.466666666666667,
2.5,
2.533333333333333,
2.566666666666667,
2.6,
2.6333333333333333,
2.6666666666666665,
2.7,
2.7333333333333334,
2.7666666666666666,
2.8,
2.8333333333333335,
2.8666666666666667,
2.9,
2.933333333333333,
2.966666666666667,
3.0,
3.033333333333333,
3.066666666666667,
3.1333333333333333,
3.1666666666666665,
3.2,
3.2333333333333334,
3.2666666666666666,
3.3,0.014037532
3.3333333333333335,0.017546915
3.3666666666666667,
3.4,
3.433333333333333,
3.466666666666667,
3.5,
3.533333333333333,
3.566666666666667,
3.6,
3.6333333333333333,
3.6666666666666665,
3.7,
3.7333333333333334,
3.7666666666666666,
3.8,
3.8333333333333335,
3.8666666666666667,
3.9,
3.933333333333333,
3.966666666666667,
4.0,
4.033333333333333,
4.066666666666666,1.166603
4.1,1.4137541
4.133333333333334,1.6977732
4.166666666666667,1.9084461
4.2,2.1247952
4.233333333333333,2.3603399
4.266666666666667,2.6122477
4.3,2.6618917
4.333333333333333,-2.4643962
4.366666666666666,-2.1801178
4.4,-1.8042635
4.433333333333334,1.3862306
4.466666666666667,1.0764471
4.5,
4.533333333333333,
4.566666666666666,
4.6,
4.633333333333334,
4.666666666666667,
4.7,
4.733333333333333,
4.766666666666667,
4.8,
4.833333333333333,
4.866666666666666,
4.9,
4.933333333333334,
4.966666666666667,
5.0,
5.033333333333333,
5.066666666666666,1.8304057
5.1,2.6288915
5.133333333333334,3.3554645
5.166666666666667,3.7168612
5.2,3.7833722
5.233333333333333,3.609396
5.266666666666667,3.3626587
5.3,3.0761669
5.333333333333333,2.6167498
5.366666666666666,1.896347
5.4,1.0107884
5.433333333333334,0.0436938
5.466666666666667,-0.86550164
5.5,-1.3482269
5.533333333333333,-1.5062952
